City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
341,chengdu,30.6667,104.0667,19.13,77,100,1.0,CN,1698028572
342,waynesville,35.4887,-82.9887,10.42,81,0,1.34,US,1698028572
343,akureyri,65.6835,-18.0878,0.96,100,75,0.0,IS,1698028572
344,lepsy,46.235,78.9456,12.79,64,100,11.7,KZ,1698028573
345,cockburn town,21.4612,-71.1419,28.91,74,3,4.71,TC,1698028520
346,selebi-phikwe,-21.979,27.8498,17.34,79,18,7.02,BW,1698028573
347,salinopolis,-0.6136,-47.3561,26.95,84,52,5.28,BR,1698028573
348,yeraliyev,43.2,51.65,6.78,61,0,4.34,KZ,1698028573
349,puerto gaitan,4.3133,-72.0816,23.1,95,100,3.26,CO,1698028309
350,zhanaozen,43.3,52.8,4.33,64,4,3.83,KZ,1698028574
351,yanbu,24.0891,38.0637,25.02,65,0,2.06,SA,1698028574
352,prince george,53.9166,-122.753,1.46,93,0,1.79,CA,1698028501
353,puerto montt,-41.4698,-72.9447,6.46,93,0,0.0,CL,1698028575
354,quellon,-43.1167,-73.6167,7.42,93,6,3.45,CL,1698028575
355,shache,38.4167,77.2406,14.32,21,11,0.42,CN,1698028575
356,westport,41.1415,-73.3579,9.7,71,100,4.63,US,1698028407
357,suva,-18.1416,178.4415,25.71,83,75,4.12,FJ,1698028576
358,severo-yeniseyskiy,60.3725,93.0408,0.25,72,100,3.65,RU,1698028576
359,santa marta de ortigueira,43.6833,-7.85,13.9,87,100,4.0,ES,1698028576
